交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2024/09/02,TX,202409  ,22318,22448,22172,22227,-91,-0.41%,72350,22212,84141,22224,22232,24441,15810,,一般,,
2024/09/02,TX,202409  ,22318,22394,22095,22300,-18,-0.08%,67766,-,-,22297,22299,24441,15810,,盤後,,
2024/09/02,TX,202410  ,22319,22445,22180,22210,-106,-0.47%,537,22209,1490,22223,22232,23578,18900,,一般,,
2024/09/02,TX,202410  ,22324,22390,22100,22298,-18,-0.08%,410,-,-,22297,22302,23578,18900,,盤後,,
2024/09/02,TX,202411  ,22340,22430,22188,22230,-86,-0.39%,41,22230,102,22230,22243,22527,21833,,一般,,
2024/09/02,TX,202411  ,22317,22366,22118,22276,-40,-0.18%,28,-,-,22299,22307,22527,21833,,盤後,,
2024/09/02,TX,202412  ,22309,22400,22202,22202,-100,-0.45%,16,22217,558,22211,22223,24463,16885,,一般,,
2024/09/02,TX,202412  ,22316,22368,22144,22206,-96,-0.43%,10,-,-,22280,22288,24463,16885,,盤後,,
2024/09/02,TX,202503  ,22370,22400,22370,22400,112,0.50%,5,22197,409,22192,22203,24435,18886,,一般,,
2024/09/02,TX,202503  ,22289,22289,22180,22180,-108,-0.48%,2,-,-,22260,22274,24435,18886,,盤後,,
2024/09/02,TX,202506  ,22368,22368,22368,22368,84,0.38%,2,22191,209,22185,22198,24547,19133,,一般,,
2024/09/02,TX,202506  ,22284,22344,22150,22150,-134,-0.60%,4,-,-,22257,22273,24547,19133,,盤後,,
2024/09/03,TX,202409  ,22205,22314,22000,22070,-142,-0.64%,72699,22051,82306,22065,22072,24441,15810,,一般,,
2024/09/03,TX,202409  ,22215,22267,22062,22220,8,0.04%,32432,-,-,22210,22220,24441,15810,,盤後,,
2024/09/03,TX,202410  ,22208,22314,22013,22079,-130,-0.59%,690,22053,1958,22073,22083,23578,18900,,一般,,
2024/09/03,TX,202410  ,22200,22264,22063,22208,-1,0.00%,343,-,-,22210,22223,23578,18900,,盤後,,
2024/09/03,TX,202411  ,22206,22320,22042,22059,-171,-0.77%,37,22058,99,22081,22096,22527,21833,,一般,,
2024/09/03,TX,202411  ,22134,22270,22100,22253,23,0.10%,32,-,-,22210,22226,22527,21833,,盤後,,
2024/09/03,TX,202412  ,22270,22270,22022,22022,-195,-0.88%,9,22031,561,22067,22082,24463,16885,,一般,,
2024/09/03,TX,202412  ,22124,22251,22100,22202,-15,-0.07%,7,-,-,22199,22212,24463,16885,,盤後,,
2024/09/03,TX,202503  ,22189,22270,22006,22006,-191,-0.86%,17,22013,401,22046,22062,24435,18886,,一般,,
2024/09/03,TX,202503  ,-,-,-,-,-,-,0,-,-,22181,22197,24435,18886,,盤後,,
2024/09/03,TX,202506  ,22204,22204,22040,22040,-151,-0.68%,21,22040,198,22039,22057,24547,19133,,一般,,
2024/09/03,TX,202506  ,22191,22191,22191,22191,0,0.00%,1,-,-,22175,22190,24547,19133,,盤後,,
2024/09/04,TX,202409  ,21246,21347,20828,20947,-1104,-5.01%,139676,20940,75158,20938,20944,24441,15810,,一般,,
2024/09/04,TX,202409  ,22089,22154,21336,21364,-687,-3.12%,98691,-,-,21361,21364,24441,15810,,盤後,,
2024/09/04,TX,202410  ,21273,21350,20855,20949,-1104,-5.01%,944,20948,2273,20949,20958,23578,18900,,一般,,
2024/09/04,TX,202410  ,22117,22154,21351,21369,-684,-3.10%,1040,-,-,21370,21377,23578,18900,,盤後,,
2024/09/04,TX,202411  ,21284,21345,20900,21018,-1040,-4.71%,97,20964,111,20959,20970,22527,20900,,一般,,
2024/09/04,TX,202411  ,22150,22150,21387,21433,-625,-2.83%,58,-,-,21379,21387,22527,21387,,盤後,,
2024/09/04,TX,202412  ,21273,21359,20869,20963,-1068,-4.85%,128,20963,537,20950,20963,24463,16885,,一般,,
2024/09/04,TX,202412  ,22022,22049,21377,21377,-654,-2.97%,56,-,-,21369,21384,24463,16885,,盤後,,
2024/09/04,TX,202503  ,21302,21302,20972,20982,-1031,-4.68%,22,20936,359,20925,20947,24435,18886,,一般,,
2024/09/04,TX,202503  ,21981,22001,21386,21386,-627,-2.85%,57,-,-,21346,21378,24435,18886,,盤後,,
2024/09/04,TX,202506  ,21100,21163,20850,21053,-987,-4.48%,19,20949,190,20940,20958,24547,19133,,一般,,
2024/09/04,TX,202506  ,22081,22126,21547,21550,-490,-2.22%,19,-,-,21364,21384,24547,19133,,盤後,,
2024/09/05,TX,202409  ,21310,21454,21056,21183,243,1.16%,85120,21183,73170,21179,21185,24441,15810,,一般,,
2024/09/05,TX,202409  ,20960,21423,20916,21236,296,1.41%,89889,-,-,21228,21235,24441,15810,,盤後,,
2024/09/05,TX,202410  ,21310,21455,21070,21195,247,1.18%,1213,21190,2622,21184,21193,23578,18900,,一般,,
2024/09/05,TX,202410  ,20948,21430,20948,21236,288,1.37%,783,-,-,21237,21248,23578,18900,,盤後,,
2024/09/05,TX,202411  ,21330,21458,21120,21200,236,1.13%,39,21200,103,21190,21202,22527,20900,,一般,,
2024/09/05,TX,202411  ,20948,21392,20948,21235,271,1.29%,69,-,-,21247,21259,22527,20900,,盤後,,
2024/09/05,TX,202412  ,21311,21398,21100,21141,178,0.85%,64,21189,536,21186,21193,24463,16885,,一般,,
2024/09/05,TX,202412  ,21041,21392,21011,21264,301,1.44%,48,-,-,21243,21256,24463,16885,,盤後,,
2024/09/05,TX,202503  ,-,-,-,-,-,-,0,21190,358,21182,21198,24435,18886,,一般,,
2024/09/05,TX,202503  ,21080,21084,21080,21080,144,0.69%,22,-,-,21232,21254,24435,18886,,盤後,,
2024/09/05,TX,202506  ,21395,21443,21107,21107,158,0.75%,23,21190,178,21182,21198,24547,19133,,一般,,
2024/09/05,TX,202506  ,21083,21275,21083,21262,313,1.49%,4,-,-,21230,21252,24547,19133,,盤後,,
2024/09/06,TX,202409  ,21211,21435,21013,21319,136,0.64%,92055,21316,72351,21316,21320,24441,15810,,一般,,
2024/09/06,TX,202409  ,21176,21475,21125,21362,179,0.85%,85570,-,-,21357,21363,24441,15810,,盤後,,
2024/09/06,TX,202410  ,21237,21430,21028,21314,124,0.59%,1184,21313,3219,21314,21322,23578,18900,,一般,,
2024/09/06,TX,202410  ,21219,21465,21140,21365,175,0.83%,1050,-,-,21361,21371,23578,18900,,盤後,,
2024/09/06,TX,202411  ,21219,21430,21038,21361,161,0.76%,39,21324,111,21320,21329,22527,20900,,一般,,
2024/09/06,TX,202411  ,21185,21430,21171,21354,154,0.73%,46,-,-,21368,21378,22527,20900,,盤後,,
2024/09/06,TX,202412  ,21172,21409,21035,21388,199,0.94%,31,21314,537,21309,21319,24463,16885,,一般,,
2024/09/06,TX,202412  ,21301,21466,21248,21276,87,0.41%,11,-,-,21365,21376,24463,16885,,盤後,,
2024/09/06,TX,202503  ,21206,21280,21068,21280,90,0.42%,8,21312,358,21308,21316,24435,18886,,一般,,
2024/09/06,TX,202503  ,21316,21360,21316,21360,170,0.80%,2,-,-,21358,21377,24435,18886,,盤後,,
2024/09/06,TX,202506  ,21231,21340,21231,21340,150,0.71%,3,21317,177,21306,21328,24547,19133,,一般,,
2024/09/06,TX,202506  ,21472,21472,21336,21336,146,0.69%,2,-,-,21362,21382,24547,19133,,盤後,,
2024/09/09,TX,202409  ,20734,21125,20616,21073,-243,-1.14%,95274,21083,71092,21076,21078,24441,15810,,一般,,
2024/09/09,TX,202409  ,21299,21530,20550,20560,-756,-3.55%,139419,-,-,20558,20562,24441,15810,,盤後,,
2024/09/09,TX,202410  ,20700,21123,20637,21071,-242,-1.14%,1226,21079,3519,21075,21081,23578,18900,,一般,,
2024/09/09,TX,202410  ,21282,21520,20553,20570,-743,-3.49%,1535,-,-,20560,20567,23578,18900,,盤後,,
2024/09/09,TX,202411  ,20700,21128,20686,21086,-238,-1.12%,122,21086,124,21082,21089,22527,20599,,一般,,
2024/09/09,TX,202411  ,21262,21532,20599,20599,-725,-3.40%,87,-,-,20569,20578,22527,20599,,盤後,,
2024/09/09,TX,202412  ,20770,21120,20674,21110,-204,-0.96%,52,21075,520,21072,21079,24463,16885,,一般,,
2024/09/09,TX,202412  ,21262,21500,20597,20597,-717,-3.36%,93,-,-,20555,20565,24463,16885,,盤後,,
2024/09/09,TX,202503  ,20772,21105,20698,21105,-207,-0.97%,8,21073,346,21070,21076,24435,18886,,一般,,
2024/09/09,TX,202503  ,21239,21500,20600,20600,-712,-3.34%,26,-,-,20548,20565,24435,18886,,盤後,,
2024/09/09,TX,202506  ,20782,21090,20691,21090,-227,-1.06%,13,21074,172,21070,21078,24547,19133,,一般,,
2024/09/09,TX,202506  ,20996,20996,20666,20666,-651,-3.05%,10,-,-,20552,20574,24547,19133,,盤後,,
2024/09/10,TX,202409  ,21233,21281,20905,21000,-83,-0.39%,96570,21005,69425,20998,21000,24441,15810,,一般,,
2024/09/10,TX,202409  ,21106,21348,21073,21310,227,1.08%,70473,-,-,21302,21310,24441,15810,,盤後,,
2024/09/10,TX,202410  ,21237,21257,20919,20998,-81,-0.38%,2127,21001,4795,21000,21004,23578,18900,,一般,,
2024/09/10,TX,202410  ,21133,21340,21091,21302,223,1.06%,953,-,-,21301,21313,23578,18900,,盤後,,
2024/09/10,TX,202411  ,21278,21278,20939,21105,19,0.09%,61,21011,129,21009,21013,22527,20599,,一般,,
2024/09/10,TX,202411  ,21117,21350,21100,21230,144,0.68%,57,-,-,21308,21320,22527,20599,,盤後,,
2024/09/10,TX,202412  ,21271,21271,20920,20990,-85,-0.40%,26,21000,526,20997,21003,24463,16885,,一般,,
2024/09/10,TX,202412  ,21182,21300,21182,21206,131,0.62%,3,-,-,21298,21310,24463,16885,,盤後,,
2024/09/10,TX,202503  ,21244,21244,21130,21130,57,0.27%,7,21002,352,20998,21007,24435,18886,,一般,,
2024/09/10,TX,202503  ,21133,21285,21123,21185,112,0.53%,33,-,-,21297,21316,24435,18886,,盤後,,
2024/09/10,TX,202506  ,21089,21123,20926,21105,31,0.15%,11,20999,171,20995,21004,24547,19133,,一般,,
2024/09/10,TX,202506  ,21115,21115,21115,21115,41,0.19%,1,-,-,21298,21313,24547,19133,,盤後,,
2024/09/11,TX,202409  ,21100,21130,20950,21005,0,0.00%,74321,21006,70009,21005,21009,24441,15810,,一般,,
2024/09/11,TX,202409  ,21023,21185,20819,21145,140,0.67%,84605,-,-,21142,21145,24441,15810,,盤後,,
2024/09/11,TX,202410  ,21120,21128,20951,21012,11,0.05%,1841,21009,5955,21003,21009,23578,18900,,一般,,
2024/09/11,TX,202410  ,21011,21180,20823,21148,147,0.70%,1187,-,-,21143,21149,23578,18900,,盤後,,
2024/09/11,TX,202411  ,21095,21136,20970,20988,-23,-0.11%,61,21015,153,21011,21019,22527,20599,,一般,,
2024/09/11,TX,202411  ,21040,21162,20863,21162,151,0.72%,51,-,-,21151,21159,22527,20599,,盤後,,
2024/09/11,TX,202412  ,21096,21116,20970,21004,4,0.02%,31,21004,549,21004,21012,24463,16885,,一般,,
2024/09/11,TX,202412  ,21030,21135,20848,21135,135,0.64%,17,-,-,21143,21151,24463,16885,,盤後,,
2024/09/11,TX,202503  ,-,-,-,-,-,-,0,21007,352,21002,21012,24435,18886,,一般,,
2024/09/11,TX,202503  ,21002,21002,21002,21002,0,0.00%,1,-,-,21141,21154,24435,18886,,盤後,,
2024/09/11,TX,202506  ,21077,21112,20973,20973,-26,-0.12%,5,21003,171,20998,21009,24547,19133,,一般,,
2024/09/11,TX,202506  ,21008,21149,21008,21149,150,0.71%,4,-,-,21140,21153,24547,19133,,盤後,,
2024/09/12,TX,202409  ,21597,21780,21461,21711,705,3.36%,91690,21703,67746,21707,21711,24441,15810,,一般,,
2024/09/12,TX,202409  ,21066,21580,20880,21517,511,2.43%,117032,-,-,21520,21524,24441,15810,,盤後,,
2024/09/12,TX,202410  ,21587,21780,21466,21721,712,3.39%,8943,21711,13363,21716,21721,23578,18900,,一般,,
2024/09/12,TX,202410  ,21055,21577,20884,21524,515,2.45%,2693,-,-,21515,21523,23578,18900,,盤後,,
2024/09/12,TX,202411  ,21587,21755,21493,21701,686,3.26%,88,21723,161,21718,21728,22527,20599,,一般,,
2024/09/12,TX,202411  ,21092,21562,20901,21538,523,2.49%,99,-,-,21518,21529,22527,20599,,盤後,,
2024/09/12,TX,202412  ,21529,21738,21493,21689,685,3.26%,57,21711,535,21708,21714,24463,16885,,一般,,
2024/09/12,TX,202412  ,21091,21545,20902,21529,525,2.50%,52,-,-,21502,21522,24463,16885,,盤後,,
2024/09/12,TX,202503  ,21579,21700,21455,21698,691,3.29%,23,21698,353,21702,21715,24435,18886,,一般,,
2024/09/12,TX,202503  ,21165,21450,21165,21450,443,2.11%,3,-,-,21505,21519,24435,18886,,盤後,,
2024/09/12,TX,202506  ,21598,21720,21486,21644,641,3.05%,9,21705,172,21698,21712,24547,19133,,一般,,
2024/09/12,TX,202506  ,-,-,-,-,-,-,0,-,-,21502,21522,24547,19133,,盤後,,
2024/09/13,TX,202409  ,21800,21833,21657,21820,117,0.54%,74408,21815,53424,21820,21824,24441,15810,,一般,,
2024/09/13,TX,202409  ,21702,21895,21579,21802,99,0.46%,72640,-,-,21801,21809,24441,15810,,盤後,,
2024/09/13,TX,202410  ,21771,21843,21671,21829,118,0.54%,23531,21827,29585,21829,21835,23578,18900,,一般,,
2024/09/13,TX,202410  ,21720,21903,21594,21816,105,0.48%,1728,-,-,21811,21823,23578,18900,,盤後,,
2024/09/13,TX,202411  ,21780,21801,21697,21801,78,0.36%,37,21838,163,21833,21843,22527,20599,,一般,,
2024/09/13,TX,202411  ,21714,21860,21641,21856,133,0.61%,48,-,-,21813,21830,22527,20599,,盤後,,
2024/09/13,TX,202412  ,21785,21803,21676,21803,92,0.42%,39,21828,547,21824,21833,24463,16885,,一般,,
2024/09/13,TX,202412  ,21767,21883,21649,21813,102,0.47%,21,-,-,21804,21823,24463,16885,,盤後,,
2024/09/13,TX,202503  ,21698,-,-,21698,0,0.00%,2,21829,361,21818,21841,24435,18886,,一般,,
2024/09/13,TX,202503  ,21689,21820,21624,21820,122,0.56%,17,-,-,21802,21827,24435,18886,,盤後,,
2024/09/13,TX,202506  ,21728,21777,21728,21777,72,0.33%,3,21829,174,21820,21839,24547,19133,,一般,,
2024/09/13,TX,202506  ,21758,21782,21703,21703,-2,-0.01%,6,-,-,21797,21829,24547,19133,,盤後,,
2024/09/16,TX,202409  ,21807,21871,21735,21813,-2,-0.01%,72650,21815,28744,21813,21816,24441,15810,,一般,,
2024/09/16,TX,202409  ,21789,21892,21745,21839,24,0.11%,42886,-,-,21832,21838,24441,15810,,盤後,,
2024/09/16,TX,202410  ,21839,21886,21750,21828,1,0.00%,36944,21834,54139,21829,21835,23578,18900,,一般,,
2024/09/16,TX,202410  ,21808,21898,21755,21842,15,0.07%,2005,-,-,21840,21848,23578,18900,,盤後,,
2024/09/16,TX,202411  ,21855,21877,21770,21838,0,0.00%,54,21841,172,21832,21842,22527,20599,,一般,,
2024/09/16,TX,202411  ,21790,21902,21769,21885,47,0.22%,19,-,-,21845,21856,22527,20599,,盤後,,
2024/09/16,TX,202412  ,21808,21876,21776,21851,23,0.11%,67,21825,547,21822,21829,24463,16885,,一般,,
2024/09/16,TX,202412  ,21800,21884,21800,21842,14,0.06%,32,-,-,21837,21849,24463,16885,,盤後,,
2024/09/16,TX,202503  ,21843,21878,21783,21878,49,0.22%,5,21832,365,21825,21839,24435,18886,,一般,,
2024/09/16,TX,202503  ,21797,21861,21778,21861,32,0.15%,3,-,-,21828,21855,24435,18886,,盤後,,
2024/09/16,TX,202506  ,21840,21854,21800,21854,25,0.11%,5,21831,174,21822,21840,24547,19133,,一般,,
2024/09/16,TX,202506  ,21844,21844,21844,21844,15,0.07%,1,-,-,21830,21855,24547,19133,,盤後,,
2024/09/18,TX,202409  ,21730,21872,21560,21619,-196,-0.90%,46802,0,17137,21618,21619,24441,15810,,一般,,
2024/09/18,TX,202409  ,21800,21849,21600,21739,-76,-0.35%,44021,-,-,21726,21744,24441,15810,,盤後,,
2024/09/18,TX,202410  ,21761,21881,21625,21692,-142,-0.65%,42700,21694,66820,21692,21695,23578,18900,,一般,,
